Query ID: 1
Rank      DocID       Relevance    Precision       Recall
1       CACM-1657         N         0.0000         0.0000
2       CACM-1410         R         0.5000         0.2000
3       CACM-2319         N         0.3333         0.2000
4       CACM-1938         N         0.2500         0.2000
5       CACM-1827         N         0.2000         0.2000
6       CACM-2218         N         0.1667         0.2000
7       CACM-2054         N         0.1429         0.2000
8       CACM-1844         N         0.1250         0.2000
9       CACM-2629         N         0.1111         0.2000
10       CACM-1605         R         0.2000         0.4000
11       CACM-2357         N         0.1818         0.4000
12       CACM-1591         N         0.1667         0.4000
13       CACM-1161         N         0.1538         0.4000
14       CACM-1033         N         0.1429         0.4000
15       CACM-2378         N         0.1333         0.4000
16       CACM-2379         N         0.1250         0.4000
17       CACM-1749         N         0.1176         0.4000
18       CACM-2535         N         0.1111         0.4000
19       CACM-1698         N         0.1053         0.4000
20       CACM-1487         N         0.1000         0.4000
21       CACM-2371         N         0.0952         0.4000
22       CACM-2541         N         0.0909         0.4000
23       CACM-2947         N         0.0870         0.4000
24       CACM-2950         N         0.0833         0.4000
25       CACM-1506         N         0.0800         0.4000
26       CACM-1519         N         0.0769         0.4000
27       CACM-2151         N         0.0741         0.4000
28       CACM-2501         N         0.0714         0.4000
29       CACM-2424         N         0.0690         0.4000
30       CACM-1572         R         0.1000         0.6000
31       CACM-2946         N         0.0968         0.6000
32       CACM-1908         N         0.0938         0.6000
33       CACM-2632         N         0.0909         0.6000
34       CACM-2219         N         0.0882         0.6000
35       CACM-2344         N         0.0857         0.6000
36       CACM-1805         N         0.0833         0.6000
37       CACM-0637         N         0.0811         0.6000
38       CACM-1225         N         0.0789         0.6000
39       CACM-1544         N         0.0769         0.6000
40       CACM-1408         N         0.0750         0.6000
41       CACM-1523         N         0.0732         0.6000
42       CACM-1391         N         0.0714         0.6000
43       CACM-1752         N         0.0698         0.6000
44       CACM-2003         N         0.0682         0.6000
45       CACM-1647         N         0.0667         0.6000
46       CACM-2380         N         0.0652         0.6000
47       CACM-0585         N         0.0638         0.6000
48       CACM-1071         N         0.0625         0.6000
49       CACM-1226         N         0.0612         0.6000
50       CACM-2764         N         0.0600         0.6000
51       CACM-1393         N         0.0588         0.6000
52       CACM-2948         N         0.0577         0.6000
53       CACM-1680         N         0.0566         0.6000
54       CACM-0698         N         0.0556         0.6000
55       CACM-1685         N         0.0545         0.6000
56       CACM-1462         N         0.0536         0.6000
57       CACM-1854         N         0.0526         0.6000
58       CACM-1464         N         0.0517         0.6000
59       CACM-2500         N         0.0508         0.6000
60       CACM-2920         N         0.0500         0.6000
61       CACM-1750         N         0.0492         0.6000
62       CACM-3068         N         0.0484         0.6000
63       CACM-3127         N         0.0476         0.6000
64       CACM-1264         N         0.0469         0.6000
65       CACM-3023         N         0.0462         0.6000
66       CACM-2522         N         0.0455         0.6000
67       CACM-1315         N         0.0448         0.6000
68       CACM-1747         N         0.0441         0.6000
69       CACM-3025         N         0.0435         0.6000
70       CACM-2365         N         0.0429         0.6000
71       CACM-2439         N         0.0423         0.6000
72       CACM-2317         N         0.0417         0.6000
73       CACM-2838         N         0.0411         0.6000
74       CACM-1440         N         0.0405         0.6000
75       CACM-1542         N         0.0400         0.6000
76       CACM-3011         N         0.0395         0.6000
77       CACM-2358         R         0.0519         0.8000
78       CACM-2917         N         0.0513         0.8000
79       CACM-2201         N         0.0506         0.8000
80       CACM-1590         N         0.0500         0.8000
81       CACM-2841         N         0.0494         0.8000
82       CACM-2740         N         0.0488         0.8000
83       CACM-2080         N         0.0482         0.8000
84       CACM-1046         N         0.0476         0.8000
85       CACM-3069         N         0.0471         0.8000
86       CACM-3174         N         0.0465         0.8000
87       CACM-0971         N         0.0460         0.8000
88       CACM-2092         N         0.0455         0.8000
89       CACM-2681         N         0.0449         0.8000
90       CACM-1885         N         0.0444         0.8000
91       CACM-1828         N         0.0440         0.8000
92       CACM-1626         N         0.0435         0.8000
93       CACM-1892         N         0.0430         0.8000
94       CACM-1753         N         0.0426         0.8000
95       CACM-2390         N         0.0421         0.8000
96       CACM-1179         N         0.0417         0.8000
97       CACM-1173         N         0.0412         0.8000
98       CACM-2560         N         0.0408         0.8000
99       CACM-1960         N         0.0404         0.8000
100       CACM-3065         N         0.0400         0.8000

P@5: 0.2
P@20: 0.1

******************* End of query 1 ***************************

Query ID: 2
Rank      DocID       Relevance    Precision       Recall
1       CACM-2434         R         1.0000         0.3333
2       CACM-3078         R         1.0000         0.6667
3       CACM-3129         N         0.6667         0.6667
4       CACM-2786         N         0.5000         0.6667
5       CACM-2863         R         0.6000         1.0000
6       CACM-1977         N         0.5000         1.0000
7       CACM-2534         N         0.4286         1.0000
8       CACM-0497         N         0.3750         1.0000
9       CACM-3202         N         0.3333         1.0000
10       CACM-2177         N         0.3000         1.0000
11       CACM-0616         N         0.2727         1.0000
12       CACM-3144         N         0.2500         1.0000
13       CACM-1379         N         0.2308         1.0000
14       CACM-1046         N         0.2143         1.0000
15       CACM-2342         N         0.2000         1.0000
16       CACM-1264         N         0.1875         1.0000
17       CACM-1010         N         0.1765         1.0000
18       CACM-0727         N         0.1667         1.0000
19       CACM-1364         N         0.1579         1.0000
20       CACM-1674         N         0.1500         1.0000
21       CACM-1652         N         0.1429         1.0000
22       CACM-2939         N         0.1364         1.0000
23       CACM-3117         N         0.1304         1.0000
24       CACM-1931         N         0.1250         1.0000
25       CACM-3171         N         0.1200         1.0000
26       CACM-1012         N         0.1154         1.0000
27       CACM-2971         N         0.1111         1.0000
28       CACM-1062         N         0.1071         1.0000
29       CACM-0282         N         0.1034         1.0000
30       CACM-2439         N         0.1000         1.0000
31       CACM-1272         N         0.0968         1.0000
32       CACM-2215         N         0.0938         1.0000
33       CACM-2572         N         0.0909         1.0000
34       CACM-2002         N         0.0882         1.0000
35       CACM-1553         N         0.0857         1.0000
36       CACM-2980         N         0.0833         1.0000
37       CACM-2905         N         0.0811         1.0000
38       CACM-1861         N         0.0789         1.0000
39       CACM-0531         N         0.0769         1.0000
40       CACM-1705         N         0.0750         1.0000
41       CACM-1877         N         0.0732         1.0000
42       CACM-1593         N         0.0714         1.0000
43       CACM-2047         N         0.0698         1.0000
44       CACM-2194         N         0.0682         1.0000
45       CACM-1975         N         0.0667         1.0000
46       CACM-1519         N         0.0652         1.0000
47       CACM-2451         N         0.0638         1.0000
48       CACM-1867         N         0.0625         1.0000
49       CACM-1154         N         0.0612         1.0000
50       CACM-1924         N         0.0600         1.0000
51       CACM-2852         N         0.0588         1.0000
52       CACM-1741         N         0.0577         1.0000
53       CACM-0335         N         0.0566         1.0000
54       CACM-1651         N         0.0556         1.0000
55       CACM-1764         N         0.0545         1.0000
56       CACM-1486         N         0.0536         1.0000
57       CACM-2233         N         0.0526         1.0000
58       CACM-1542         N         0.0517         1.0000
59       CACM-1315         N         0.0508         1.0000
60       CACM-1588         N         0.0500         1.0000
61       CACM-2519         N         0.0492         1.0000
62       CACM-1334         N         0.0484         1.0000
63       CACM-2924         N         0.0476         1.0000
64       CACM-0242         N         0.0469         1.0000
65       CACM-2250         N         0.0462         1.0000
66       CACM-2900         N         0.0455         1.0000
67       CACM-1397         N         0.0448         1.0000
68       CACM-3059         N         0.0441         1.0000
69       CACM-0670         N         0.0435         1.0000
70       CACM-2423         N         0.0429         1.0000
71       CACM-3072         N         0.0423         1.0000
72       CACM-1886         N         0.0417         1.0000
73       CACM-2304         N         0.0411         1.0000
74       CACM-1623         N         0.0405         1.0000
75       CACM-3201         N         0.0400         1.0000
76       CACM-2421         N         0.0395         1.0000
77       CACM-3110         N         0.0390         1.0000
78       CACM-1464         N         0.0385         1.0000
79       CACM-3033         N         0.0380         1.0000
80       CACM-1846         N         0.0375         1.0000
81       CACM-0397         N         0.0370         1.0000
82       CACM-1638         N         0.0366         1.0000
83       CACM-2039         N         0.0361         1.0000
84       CACM-2354         N         0.0357         1.0000
85       CACM-1930         N         0.0353         1.0000
86       CACM-3199         N         0.0349         1.0000
87       CACM-2981         N         0.0345         1.0000
88       CACM-2356         N         0.0341         1.0000
89       CACM-1527         N         0.0337         1.0000
90       CACM-2771         N         0.0333         1.0000
91       CACM-2986         N         0.0330         1.0000
92       CACM-1564         N         0.0326         1.0000
93       CACM-1166         N         0.0323         1.0000
94       CACM-3047         N         0.0319         1.0000
95       CACM-2486         N         0.0316         1.0000
96       CACM-2402         N         0.0312         1.0000
97       CACM-2916         N         0.0309         1.0000
98       CACM-2684         N         0.0306         1.0000
99       CACM-2714         N         0.0303         1.0000
100       CACM-1259         N         0.0300         1.0000

P@5: 0.6
P@20: 0.15

******************* End of query 2 ***************************

Query ID: 3
Rank      DocID       Relevance    Precision       Recall
1       CACM-1988         N         0.0000         0.0000
2       CACM-2061         N         0.0000         0.0000
3       CACM-2112         N         0.0000         0.0000
4       CACM-2921         N         0.0000         0.0000
5       CACM-0252         N         0.0000         0.0000
6       CACM-1496         N         0.0000         0.0000
7       CACM-0205         N         0.0000         0.0000
8       CACM-2411         N         0.0000         0.0000
9       CACM-1154         N         0.0000         0.0000
10       CACM-3102         N         0.0000         0.0000
11       CACM-1223         N         0.0000         0.0000
12       CACM-1387         N         0.0000         0.0000
13       CACM-1723         N         0.0000         0.0000
14       CACM-2579         N         0.0000         0.0000
15       CACM-0637         N         0.0000         0.0000
16       CACM-3115         N         0.0000         0.0000
17       CACM-3030         N         0.0000         0.0000
18       CACM-1788         N         0.0000         0.0000
19       CACM-3130         N         0.0000         0.0000
20       CACM-1029         N         0.0000         0.0000
21       CACM-1787         N         0.0000         0.0000
22       CACM-2684         N         0.0000         0.0000
23       CACM-3093         N         0.0000         0.0000
24       CACM-2939         N         0.0000         0.0000
25       CACM-2732         N         0.0000         0.0000
26       CACM-1807         R         0.0385         0.1667
27       CACM-0799         N         0.0370         0.1667
28       CACM-2886         N         0.0357         0.1667
29       CACM-2867         N         0.0345         0.1667
30       CACM-1533         N         0.0333         0.1667
31       CACM-3099         N         0.0323         0.1667
32       CACM-1350         N         0.0312         0.1667
33       CACM-1852         N         0.0303         0.1667
34       CACM-3171         N         0.0294         0.1667
35       CACM-2929         N         0.0286         0.1667
36       CACM-1134         R         0.0556         0.3333
37       CACM-1947         R         0.0811         0.5000
38       CACM-2138         N         0.0789         0.5000
39       CACM-1402         N         0.0769         0.5000
40       CACM-0303         N         0.0750         0.5000
41       CACM-2746         N         0.0732         0.5000
42       CACM-2603         N         0.0714         0.5000
43       CACM-2534         N         0.0698         0.5000
44       CACM-3124         N         0.0682         0.5000
45       CACM-1484         N         0.0667         0.5000
46       CACM-1135         N         0.0652         0.5000
47       CACM-1835         N         0.0638         0.5000
48       CACM-3105         N         0.0625         0.5000
49       CACM-1783         N         0.0612         0.5000
50       CACM-2210         N         0.0600         0.5000
51       CACM-1003         N         0.0588         0.5000
52       CACM-1392         N         0.0577         0.5000
53       CACM-1565         N         0.0566         0.5000
54       CACM-0464         N         0.0556         0.5000
55       CACM-1457         N         0.0545         0.5000
56       CACM-1386         N         0.0536         0.5000
57       CACM-2652         N         0.0526         0.5000
58       CACM-1572         N         0.0517         0.5000
59       CACM-2316         N         0.0508         0.5000
60       CACM-0265         N         0.0500         0.5000
61       CACM-2295         N         0.0492         0.5000
62       CACM-1976         N         0.0484         0.5000
63       CACM-2990         N         0.0476         0.5000
64       CACM-2424         N         0.0469         0.5000
65       CACM-2873         N         0.0462         0.5000
66       CACM-2254         N         0.0455         0.5000
67       CACM-2666         N         0.0448         0.5000
68       CACM-1456         N         0.0441         0.5000
69       CACM-0070         N         0.0435         0.5000
70       CACM-1671         N         0.0429         0.5000
71       CACM-2111         N         0.0423         0.5000
72       CACM-2718         N         0.0417         0.5000
73       CACM-1194         N         0.0411         0.5000
74       CACM-2372         N         0.0405         0.5000
75       CACM-2470         N         0.0400         0.5000
76       CACM-2542         N         0.0395         0.5000
77       CACM-1062         N         0.0390         0.5000
78       CACM-1007         N         0.0385         0.5000
79       CACM-3077         N         0.0380         0.5000
80       CACM-1348         N         0.0375         0.5000
81       CACM-1366         N         0.0370         0.5000
82       CACM-2871         N         0.0366         0.5000
83       CACM-2341         N         0.0361         0.5000
84       CACM-1309         N         0.0357         0.5000
85       CACM-1314         N         0.0353         0.5000
86       CACM-1306         N         0.0349         0.5000
87       CACM-2705         N         0.0345         0.5000
88       CACM-3101         N         0.0341         0.5000
89       CACM-0661         N         0.0337         0.5000
90       CACM-1098         N         0.0333         0.5000
