Query ID: 1
Rank      DocID       Relevance    Precision       Recall
1       CACM-1304         N         0.0000         0.0000
2       CACM-1523         N         0.0000         0.0000
3       CACM-2371         N         0.0000         0.0000
4       CACM-2984         N         0.0000         0.0000
5       CACM-2917         N         0.0000         0.0000
6       CACM-0294         N         0.0000         0.0000
7       CACM-2380         N         0.0000         0.0000
8       CACM-2087         N         0.0000         0.0000
9       CACM-1749         N         0.0000         0.0000
10       CACM-2747         N         0.0000         0.0000
11       CACM-1657         N         0.0000         0.0000
12       CACM-1033         N         0.0000         0.0000
13       CACM-0197         N         0.0000         0.0000
14       CACM-0275         N         0.0000         0.0000
15       CACM-0594         N         0.0000         0.0000
16       CACM-1544         N         0.0000         0.0000
17       CACM-2955         N         0.0000         0.0000
18       CACM-2685         N         0.0000         0.0000
19       CACM-2379         N         0.0000         0.0000
20       CACM-0098         N         0.0000         0.0000
21       CACM-1173         N         0.0000         0.0000
22       CACM-1938         N         0.0000         0.0000
23       CACM-0414         N         0.0000         0.0000
24       CACM-2560         N         0.0000         0.0000
25       CACM-0190         N         0.0000         0.0000
26       CACM-2319         N         0.0000         0.0000
27       CACM-0656         N         0.0000         0.0000
28       CACM-2217         N         0.0000         0.0000
29       CACM-2126         N         0.0000         0.0000
30       CACM-1393         N         0.0000         0.0000
31       CACM-2948         N         0.0000         0.0000
32       CACM-1591         N         0.0000         0.0000
33       CACM-1482         N         0.0000         0.0000
34       CACM-1168         N         0.0000         0.0000
35       CACM-1605         R         0.0286         0.2000
36       CACM-1519         N         0.0278         0.2000
37       CACM-2629         N         0.0270         0.2000
38       CACM-0391         N         0.0263         0.2000
39       CACM-2279         N         0.0256         0.2000
40       CACM-1719         N         0.0250         0.2000
41       CACM-1571         N         0.0244         0.2000
42       CACM-2796         N         0.0238         0.2000
43       CACM-3012         N         0.0233         0.2000
44       CACM-0271         N         0.0227         0.2000
45       CACM-0252         N         0.0222         0.2000
46       CACM-0202         N         0.0217         0.2000
47       CACM-1885         N         0.0213         0.2000
48       CACM-0398         N         0.0208         0.2000
49       CACM-1740         N         0.0204         0.2000
50       CACM-3048         N         0.0200         0.2000
51       CACM-1195         N         0.0196         0.2000
52       CACM-2542         N         0.0192         0.2000
53       CACM-1264         N         0.0189         0.2000
54       CACM-1506         N         0.0185         0.2000
55       CACM-1626         N         0.0182         0.2000
56       CACM-1070         N         0.0179         0.2000
57       CACM-2070         N         0.0175         0.2000
58       CACM-2188         N         0.0172         0.2000
59       CACM-1179         N         0.0169         0.2000
60       CACM-1937         N         0.0167         0.2000
61       CACM-1170         N         0.0164         0.2000
62       CACM-2357         N         0.0161         0.2000
63       CACM-0069         N         0.0159         0.2000
64       CACM-1440         N         0.0156         0.2000
65       CACM-3087         N         0.0154         0.2000
66       CACM-2153         N         0.0152         0.2000
67       CACM-2398         N         0.0149         0.2000
68       CACM-0827         N         0.0147         0.2000
69       CACM-0195         N         0.0145         0.2000
70       CACM-1161         N         0.0143         0.2000
71       CACM-1682         N         0.0141         0.2000
72       CACM-1410         R         0.0278         0.4000
73       CACM-0050         N         0.0274         0.4000
74       CACM-0234         N         0.0270         0.4000
75       CACM-0198         N         0.0267         0.4000
76       CACM-1505         N         0.0263         0.4000
77       CACM-2311         N         0.0260         0.4000
78       CACM-2681         N         0.0256         0.4000
79       CACM-1034         N         0.0253         0.4000
80       CACM-0798         N         0.0250         0.4000
81       CACM-1827         N         0.0247         0.4000
82       CACM-3089         N         0.0244         0.4000
83       CACM-2642         N         0.0241         0.4000
84       CACM-1163         N         0.0238         0.4000
85       CACM-1735         N         0.0235         0.4000
86       CACM-0031         N         0.0233         0.4000
87       CACM-1238         N         0.0230         0.4000
