
query_id  Q0   doc_id   rank     score              system_name
1        Q0   CACM-2319    1   -110.94581259395152   smoothedQueryLikelihood     
1        Q0   CACM-1410    2   -113.37656945392551   smoothedQueryLikelihood     
1        Q0   CACM-1605    3   -115.32068901524421   smoothedQueryLikelihood     
1        Q0   CACM-2379    4   -116.56640404395705   smoothedQueryLikelihood     
1        Q0   CACM-1033    5   -116.68763116855533   smoothedQueryLikelihood     
1        Q0   CACM-1519    6   -116.87893719619521   smoothedQueryLikelihood     
1        Q0   CACM-1506    7   -116.8854325300845   smoothedQueryLikelihood     
1        Q0   CACM-1698    8   -117.30199389266923   smoothedQueryLikelihood     
1        Q0   CACM-1523    9   -117.85281770370828   smoothedQueryLikelihood     
1        Q0   CACM-1591    10   -118.15987464125354   smoothedQueryLikelihood     
1        Q0   CACM-1161    11   -118.3470825780208   smoothedQueryLikelihood     
1        Q0   CACM-2054    12   -118.62840278124581   smoothedQueryLikelihood     
1        Q0   CACM-2632    13   -118.6353977269154   smoothedQueryLikelihood     
1        Q0   CACM-1938    14   -118.97522363136272   smoothedQueryLikelihood     
1        Q0   CACM-1749    15   -119.1686674027521   smoothedQueryLikelihood     
1        Q0   CACM-1544    16   -119.44199720912992   smoothedQueryLikelihood     
1        Q0   CACM-0585    17   -119.46524619505858   smoothedQueryLikelihood     
1        Q0   CACM-2380    18   -119.49455963754117   smoothedQueryLikelihood     
1        Q0   CACM-1393    19   -119.51381067052465   smoothedQueryLikelihood     
1        Q0   CACM-2946    20   -119.54274051772623   smoothedQueryLikelihood     
1        Q0   CACM-1225    21   -119.65645604472247   smoothedQueryLikelihood     
1        Q0   CACM-2947    22   -119.77502812990872   smoothedQueryLikelihood     
1        Q0   CACM-3069    23   -119.83792409626493   smoothedQueryLikelihood     
1        Q0   CACM-1464    24   -119.90427938912187   smoothedQueryLikelihood     
1        Q0   CACM-2950    25   -120.05223248284916   smoothedQueryLikelihood     
1        Q0   CACM-0698    26   -120.05748141634801   smoothedQueryLikelihood     
1        Q0   CACM-2541    27   -120.15785499235248   smoothedQueryLikelihood     
1        Q0   CACM-0397    28   -120.16225010857231   smoothedQueryLikelihood     
1        Q0   CACM-2357    29   -120.33856353640356   smoothedQueryLikelihood     
1        Q0   CACM-1264    30   -120.48584041155955   smoothedQueryLikelihood     
1        Q0   CACM-0637    31   -120.4923930779884   smoothedQueryLikelihood     
1        Q0   CACM-1685    32   -120.50396578939001   smoothedQueryLikelihood     
1        Q0   CACM-1315    33   -120.54424814916064   smoothedQueryLikelihood     
1        Q0   CACM-1647    34   -120.5868633149175   smoothedQueryLikelihood     
1        Q0   CACM-1226    35   -120.65299841347296   smoothedQueryLikelihood     
1        Q0   CACM-2764    36   -120.68109704087362   smoothedQueryLikelihood     
1        Q0   CACM-3127    37   -120.7431161969028   smoothedQueryLikelihood     
1        Q0   CACM-1827    38   -120.76586057685913   smoothedQueryLikelihood     
1        Q0   CACM-3025    39   -120.7779967545647   smoothedQueryLikelihood     
1        Q0   CACM-2317    40   -120.86799249023674   smoothedQueryLikelihood     
1        Q0   CACM-1805    41   -121.02774009424616   smoothedQueryLikelihood     
1        Q0   CACM-1844    42   -121.05132270616814   smoothedQueryLikelihood     
1        Q0   CACM-1408    43   -121.11841590895276   smoothedQueryLikelihood     
1        Q0   CACM-1462    44   -121.20747400539543   smoothedQueryLikelihood     
1        Q0   CACM-1657    45   -121.30968966396468   smoothedQueryLikelihood     
1        Q0   CACM-1750    46   -121.42653156184214   smoothedQueryLikelihood     
1        Q0   CACM-2371    47   -121.50983619053748   smoothedQueryLikelihood     
1        Q0   CACM-2917    48   -121.51196070596032   smoothedQueryLikelihood     
1        Q0   CACM-2629    49   -121.54627805540916   smoothedQueryLikelihood     
1        Q0   CACM-3048    50   -121.58101291520809   smoothedQueryLikelihood     
1        Q0   CACM-1680    51   -121.64743856160351   smoothedQueryLikelihood     
1        Q0   CACM-1885    52   -121.67795316897305   smoothedQueryLikelihood     
1        Q0   CACM-2535    53   -121.71519387533341   smoothedQueryLikelihood     
1        Q0   CACM-1179    54   -121.79935891213414   smoothedQueryLikelihood     
1        Q0   CACM-1046    55   -121.81221939036251   smoothedQueryLikelihood     
