Query ID: 1
Rank      docID       Relevance    Precision       Recall
1       CACM-2319         N         0.0000         0.0000
2       CACM-2379         N         0.0000         0.0000
3       CACM-1519         N         0.0000         0.0000
4       CACM-1410         R         0.2500         0.2000
5       CACM-1605         R         0.4000         0.4000
6       CACM-1523         N         0.3333         0.4000
7       CACM-2380         N         0.2857         0.4000
8       CACM-1591         N         0.2500         0.4000
9       CACM-1033         N         0.2222         0.4000
10       CACM-1698         N         0.2000         0.4000
11       CACM-1749         N         0.1818         0.4000
12       CACM-1506         N         0.1667         0.4000
13       CACM-1938         N         0.1538         0.4000
14       CACM-2632         N         0.1429         0.4000
15       CACM-2629         N         0.1333         0.4000
16       CACM-3127         N         0.1250         0.4000
17       CACM-1544         N         0.1176         0.4000
18       CACM-1680         N         0.1111         0.4000
19       CACM-2371         N         0.1053         0.4000
20       CACM-1161         N         0.1000         0.4000
21       CACM-2740         N         0.0952         0.4000
22       CACM-3025         N         0.0909         0.4000
23       CACM-3048         N         0.0870         0.4000
24       CACM-2357         N         0.0833         0.4000
25       CACM-1464         N         0.0800         0.4000
26       CACM-1647         N         0.0769         0.4000
27       CACM-1264         N         0.0741         0.4000
28       CACM-0585         N         0.0714         0.4000
29       CACM-1168         N         0.0690         0.4000
30       CACM-1750         N         0.0667         0.4000
31       CACM-2541         N         0.0645         0.4000
32       CACM-2054         N         0.0625         0.4000
33       CACM-2358         R         0.0909         0.6000
34       CACM-2317         N         0.0882         0.6000
35       CACM-1657         N         0.0857         0.6000
36       CACM-1393         N         0.0833         0.6000
37       CACM-1844         N         0.0811         0.6000
38       CACM-0414         N         0.0789         0.6000
39       CACM-1827         N         0.0769         0.6000
40       CACM-2424         N         0.0750         0.6000
41       CACM-1225         N         0.0732         0.6000
42       CACM-2947         N         0.0714         0.6000
43       CACM-0637         N         0.0698         0.6000
44       CACM-2535         N         0.0682         0.6000
45       CACM-2948         N         0.0667         0.6000
46       CACM-1179         N         0.0652         0.6000
47       CACM-0698         N         0.0638         0.6000
48       CACM-1885         N         0.0625         0.6000
49       CACM-0252         N         0.0612         0.6000
50       CACM-1315         N         0.0600         0.6000
51       CACM-0971         N         0.0588         0.6000
52       CACM-1304         N         0.0577         0.6000
53       CACM-2764         N         0.0566         0.6000
54       CACM-2080         N         0.0556         0.6000
55       CACM-1753         N         0.0545         0.6000
56       CACM-2597         N         0.0536         0.6000
57       CACM-1685         N         0.0526         0.6000
58       CACM-1173         N         0.0517         0.6000
59       CACM-2542         N         0.0508         0.6000
60       CACM-2378         N         0.0500         0.6000
61       CACM-2681         N         0.0492         0.6000
62       CACM-3068         N         0.0484         0.6000
63       CACM-1236         N         0.0476         0.6000
64       CACM-1195         N         0.0469         0.6000
65       CACM-2624         N         0.0462         0.6000
66       CACM-1542         N         0.0455         0.6000
67       CACM-2796         N         0.0448         0.6000
