Query ID: 1
Rank      DocID       Relevance    Precision       Recall
1       CACM-2319         N         0.0000         0.0000
2       CACM-1304         N         0.0000         0.0000
3       CACM-2796         N         0.0000         0.0000
4       CACM-2379         N         0.0000         0.0000
5       CACM-1523         N         0.0000         0.0000
6       CACM-2371         N         0.0000         0.0000
7       CACM-1749         N         0.0000         0.0000
8       CACM-2629         N         0.0000         0.0000
9       CACM-1657         N         0.0000         0.0000
10       CACM-2984         N         0.0000         0.0000
11       CACM-2380         N         0.0000         0.0000
12       CACM-2917         N         0.0000         0.0000
13       CACM-2685         N         0.0000         0.0000
14       CACM-1591         N         0.0000         0.0000
15       CACM-1033         N         0.0000         0.0000
16       CACM-0098         N         0.0000         0.0000
17       CACM-1519         N         0.0000         0.0000
18       CACM-0294         N         0.0000         0.0000
19       CACM-0414         N         0.0000         0.0000
20       CACM-1069         N         0.0000         0.0000
21       CACM-1755         N         0.0000         0.0000
22       CACM-1544         N         0.0000         0.0000
23       CACM-2740         N         0.0000         0.0000
24       CACM-2087         N         0.0000         0.0000
25       CACM-2747         N         0.0000         0.0000
26       CACM-0197         N         0.0000         0.0000
27       CACM-1938         N         0.0000         0.0000
28       CACM-1168         N         0.0000         0.0000
29       CACM-2955         N         0.0000         0.0000
30       CACM-0190         N         0.0000         0.0000
31       CACM-3068         N         0.0000         0.0000
32       CACM-1173         N         0.0000         0.0000
33       CACM-2560         N         0.0000         0.0000
34       CACM-0275         N         0.0000         0.0000
35       CACM-0594         N         0.0000         0.0000
36       CACM-3127         N         0.0000         0.0000
37       CACM-2948         N         0.0000         0.0000
38       CACM-2357         N         0.0000         0.0000
39       CACM-0656         N         0.0000         0.0000
40       CACM-0195         N         0.0000         0.0000
41       CACM-1605         R         0.0244         0.2000
42       CACM-2126         N         0.0238         0.2000
43       CACM-1393         N         0.0233         0.2000
44       CACM-0252         N         0.0227         0.2000
45       CACM-0271         N         0.0222         0.2000
46       CACM-1264         N         0.0217         0.2000
47       CACM-1482         N         0.0213         0.2000
48       CACM-2597         N         0.0208         0.2000
49       CACM-2632         N         0.0204         0.2000
50       CACM-0031         N         0.0200         0.2000
51       CACM-1735         N         0.0196         0.2000
52       CACM-1571         N         0.0192         0.2000
53       CACM-1464         N         0.0189         0.2000
54       CACM-1719         N         0.0185         0.2000
55       CACM-2542         N         0.0182         0.2000
56       CACM-3048         N         0.0179         0.2000
57       CACM-3012         N         0.0175         0.2000
58       CACM-0391         N         0.0172         0.2000
59       CACM-1680         N         0.0169         0.2000
60       CACM-0069         N         0.0167         0.2000
61       CACM-1410         R         0.0328         0.4000
62       CACM-0398         N         0.0323         0.4000
63       CACM-2681         N         0.0317         0.4000
64       CACM-1885         N         0.0312         0.4000
65       CACM-1195         N         0.0308         0.4000
66       CACM-0202         N         0.0303         0.4000
67       CACM-1472         N         0.0299         0.4000
68       CACM-1506         N         0.0294         0.4000
69       CACM-1440         N         0.0290         0.4000
70       CACM-1461         N         0.0286         0.4000
71       CACM-0050         N         0.0282         0.4000
72       CACM-0234         N         0.0278         0.4000
73       CACM-0827         N         0.0274         0.4000
74       CACM-0067         N         0.0270         0.4000
75       CACM-1161         N         0.0267         0.4000
76       CACM-3137         N         0.0263         0.4000
77       CACM-0198         N         0.0260         0.4000
78       CACM-0061         N         0.0256         0.4000
79       CACM-2607         N         0.0253         0.4000
80       CACM-1698         N         0.0250         0.4000
81       CACM-2188         N         0.0247         0.4000
82       CACM-1753         N         0.0244         0.4000
83       CACM-1179         N         0.0241         0.4000
84       CACM-3025         N         0.0238         0.4000
85       CACM-1750         N         0.0235         0.4000
86       CACM-0704         N         0.0233         0.4000
87       CACM-1226         N         0.0230         0.4000
88       CACM-2868         N         0.0227         0.4000
89       CACM-0971         N         0.0225         0.4000
90       CACM-1827         N         0.0222         0.4000
91       CACM-1937         N         0.0220         0.4000
92       CACM-0866         N         0.0217         0.4000
93       CACM-0999         N         0.0215         0.4000
94       CACM-1107         N         0.0213         0.4000
95       CACM-2398         N         0.0211         0.4000
96       CACM-0798         N         0.0208         0.4000
97       CACM-1247         N         0.0206         0.4000
98       CACM-3089         N         0.0204         0.4000
99       CACM-2621         N         0.0202         0.4000
100       CACM-1163         N         0.0200         0.4000

P@5: 0.0
P@20: 0.0

******************* End of query 1 ***************************

Query ID: 2
Rank      DocID       Relevance    Precision       Recall
1       CACM-0204         N         0.0000         0.0000
2       CACM-0047         N         0.0000         0.0000
3       CACM-2250         N         0.0000         0.0000
4       CACM-2434         R         0.2500         0.3333
5       CACM-0526         N         0.2000         0.3333
6       CACM-0408         N         0.1667         0.3333
7       CACM-0597         N         0.1429         0.3333
8       CACM-0002         N         0.1250         0.3333
9       CACM-0372         N         0.1111         0.3333
10       CACM-0394         N         0.1000         0.3333
11       CACM-0853         N         0.0909         0.3333
12       CACM-1105         N         0.0833         0.3333
13       CACM-0171         N         0.0769         0.3333
14       CACM-1606         N         0.0714         0.3333
15       CACM-2100         N         0.0667         0.3333
16       CACM-0648         N         0.0625         0.3333
17       CACM-0749         N         0.0588         0.3333
18       CACM-0760         N         0.0556         0.3333
19       CACM-2039         N         0.0526         0.3333
20       CACM-0798         N         0.0500         0.3333
21       CACM-3078         R         0.0952         0.6667
22       CACM-2352         N         0.0909         0.6667
23       CACM-0246         N         0.0870         0.6667
24       CACM-0210         N         0.0833         0.6667
25       CACM-2713         N         0.0800         0.6667
26       CACM-0391         N         0.0769         0.6667
27       CACM-1139         N         0.0741         0.6667
28       CACM-1702         N         0.0714         0.6667
29       CACM-1343         N         0.0690         0.6667
30       CACM-1931         N         0.0667         0.6667
31       CACM-1057         N         0.0645         0.6667
32       CACM-1519         N         0.0625         0.6667
33       CACM-3129         N         0.0606         0.6667
34       CACM-0626         N         0.0588         0.6667
35       CACM-1136         N         0.0571         0.6667
36       CACM-1990         N         0.0556         0.6667
37       CACM-1821         N         0.0541         0.6667
38       CACM-0043         N         0.0526         0.6667
39       CACM-0225         N         0.0513         0.6667
40       CACM-0967         N         0.0500         0.6667
41       CACM-2863         R         0.0732         1.0000
42       CACM-2422         N         0.0714         1.0000
43       CACM-0847         N         0.0698         1.0000
44       CACM-2392         N         0.0682         1.0000
45       CACM-2473         N         0.0667         1.0000
46       CACM-1977         N         0.0652         1.0000
47       CACM-0018         N         0.0638         1.0000
48       CACM-0200         N         0.0625         1.0000
49       CACM-0201         N         0.0612         1.0000
50       CACM-0584         N         0.0600         1.0000
51       CACM-0880         N         0.0588         1.0000
52       CACM-1582         N         0.0577         1.0000
53       CACM-0407         N         0.0566         1.0000
54       CACM-1941         N         0.0556         1.0000
55       CACM-0108         N         0.0545         1.0000
56       CACM-0881         N         0.0536         1.0000
57       CACM-1190         N         0.0526         1.0000
58       CACM-1378         N         0.0517         1.0000
59       CACM-0563         N         0.0508         1.0000
60       CACM-0569         N         0.0500         1.0000
61       CACM-0740         N         0.0492         1.0000
62       CACM-1881         N         0.0484         1.0000
63       CACM-3028         N         0.0476         1.0000
64       CACM-3202         N         0.0469         1.0000
65       CACM-0188         N         0.0462         1.0000
66       CACM-0452         N         0.0455         1.0000
67       CACM-0879         N         0.0448         1.0000
68       CACM-1371         N         0.0441         1.0000
69       CACM-1574         N         0.0435         1.0000
