Query ID: 1
Rank      DocID       Relevance    Precision       Recall
1       CACM-2319         N         0.0000         0.0000
2       CACM-2371         N         0.0000         0.0000
3       CACM-1749         N         0.0000         0.0000
4       CACM-2379         N         0.0000         0.0000
5       CACM-1591         N         0.0000         0.0000
6       CACM-1523         N         0.0000         0.0000
7       CACM-1519         N         0.0000         0.0000
8       CACM-1304         N         0.0000         0.0000
9       CACM-1657         N         0.0000         0.0000
10       CACM-2629         N         0.0000         0.0000
11       CACM-2984         N         0.0000         0.0000
12       CACM-1168         N         0.0000         0.0000
13       CACM-2380         N         0.0000         0.0000
14       CACM-1544         N         0.0000         0.0000
15       CACM-2796         N         0.0000         0.0000
16       CACM-2685         N         0.0000         0.0000
17       CACM-2948         N         0.0000         0.0000
18       CACM-1482         N         0.0000         0.0000
19       CACM-2955         N         0.0000         0.0000
20       CACM-2740         N         0.0000         0.0000
21       CACM-0098         N         0.0000         0.0000
22       CACM-0704         N         0.0000         0.0000
23       CACM-3127         N         0.0000         0.0000
24       CACM-1173         N         0.0000         0.0000
25       CACM-1755         N         0.0000         0.0000
26       CACM-1938         N         0.0000         0.0000
27       CACM-3048         N         0.0000         0.0000
28       CACM-2560         N         0.0000         0.0000
29       CACM-1605         R         0.0345         0.2000
30       CACM-1033         N         0.0333         0.2000
31       CACM-0887         N         0.0323         0.2000
32       CACM-2747         N         0.0312         0.2000
33       CACM-0414         N         0.0303         0.2000
34       CACM-2868         N         0.0294         0.2000
35       CACM-2542         N         0.0286         0.2000
36       CACM-1719         N         0.0278         0.2000
37       CACM-1069         N         0.0270         0.2000
38       CACM-0271         N         0.0263         0.2000
39       CACM-0252         N         0.0256         0.2000
40       CACM-2917         N         0.0250         0.2000
41       CACM-2357         N         0.0244         0.2000
42       CACM-2087         N         0.0238         0.2000
43       CACM-1680         N         0.0233         0.2000
44       CACM-3012         N         0.0227         0.2000
45       CACM-3068         N         0.0222         0.2000
46       CACM-1571         N         0.0217         0.2000
47       CACM-1264         N         0.0213         0.2000
48       CACM-0971         N         0.0208         0.2000
49       CACM-2632         N         0.0204         0.2000
50       CACM-0190         N         0.0200         0.2000
51       CACM-0398         N         0.0196         0.2000
52       CACM-1195         N         0.0192         0.2000
53       CACM-1034         N         0.0189         0.2000
54       CACM-1410         R         0.0370         0.4000
55       CACM-1885         N         0.0364         0.4000
56       CACM-2920         N         0.0357         0.4000
57       CACM-1506         N         0.0351         0.4000
58       CACM-0202         N         0.0345         0.4000
59       CACM-3025         N         0.0339         0.4000
60       CACM-2681         N         0.0333         0.4000
61       CACM-1464         N         0.0328         0.4000
62       CACM-0391         N         0.0323         0.4000
63       CACM-1533         N         0.0317         0.4000
64       CACM-2597         N         0.0312         0.4000
65       CACM-1712         N         0.0308         0.4000
66       CACM-1161         N         0.0303         0.4000
67       CACM-1179         N         0.0299         0.4000
68       CACM-1735         N         0.0294         0.4000
69       CACM-1534         N         0.0290         0.4000
70       CACM-1647         N         0.0286         0.4000
71       CACM-1960         N         0.0282         0.4000
72       CACM-2317         N         0.0278         0.4000
73       CACM-3137         N         0.0274         0.4000
74       CACM-1472         N         0.0270         0.4000
75       CACM-2188         N         0.0267         0.4000
76       CACM-1505         N         0.0263         0.4000
77       CACM-1697         N         0.0260         0.4000
78       CACM-1844         N         0.0256         0.4000
79       CACM-0197         N         0.0253         0.4000
80       CACM-0294         N         0.0250         0.4000
81       CACM-0798         N         0.0247         0.4000
82       CACM-2311         N         0.0244         0.4000
83       CACM-0585         N         0.0241         0.4000
84       CACM-0767         N         0.0238         0.4000
85       CACM-1393         N         0.0235         0.4000
86       CACM-3089         N         0.0233         0.4000
87       CACM-2840         N         0.0230         0.4000
88       CACM-1750         N         0.0227         0.4000
89       CACM-1238         N         0.0225         0.4000
90       CACM-2424         N         0.0222         0.4000
91       CACM-2358         R         0.0330         0.6000
92       CACM-1937         N         0.0326         0.6000
93       CACM-0866         N         0.0323         0.6000
94       CACM-2621         N         0.0319         0.6000
95       CACM-0069         N         0.0316         0.6000
96       CACM-1236         N         0.0312         0.6000
97       CACM-1642         N         0.0309         0.6000
98       CACM-1163         N         0.0306         0.6000
99       CACM-2535         N         0.0303         0.6000
100       CACM-0594         N         0.0300         0.6000

P@5: 0.0
P@20: 0.0

******************* End of query 1 ***************************

Query ID: 2
Rank      DocID       Relevance    Precision       Recall
